Gonzaga,38.05,
Michigan,32.22,
Illinois,32.1,
Baylor,30.92,
Iowa,30.33,
Houston,29.21,
Ohio State,26.81,
Alabama,26.43,
Loyola (IL),25.18,
Wisconsin,24.09,
Virginia,24.09,
Villanova,24.06,
Purdue,23.7,
Southern California,23.65,
Florida State,23.5,
Connecticut,23.34,
Colorado,23.11,
Arkansas,22.97,
Creighton,22.75,
San Diego State,22.7,
Tennessee,22.54,
Kansas,22.45,
Brigham Young,22.37,
Texas Tech,22.33,
St. Bonaventure,22.25,
Texas,22.0,
West Virginia,21.74,
North Carolina,21.52,
Louisiana State,21.03,
Oklahoma State,20.19,
Maryland,20.15,
Georgia Tech,19.98,
Duke,19.62,
Rutgers,19.57,
Penn St.,19.55,
Oregon,19.11,
Florida,19.01,
Oklahoma,18.06,
Memphis,18.05,
Utah State,17.92,
Syracuse,17.66,
Clemson,17.6,
Arizona,17.36,
UCLA,17.34,
Virginia Commonwealth,17.34,
Indiana,17.24,
Saint Louis,16.97,
Mississippi,16.79,
Kentucky,16.68,
Virginia Tech,16.65,
Missouri,16.6,
Seton Hall,16.26,
Drake,16.07,
Louisville,15.53,
Georgetown,15.5,
Michigan State,15.44,
Davidson,15.41,
Minnesota,15.38,
SMU,15.25,
Boise St.,14.94,
Xavier,14.77,
Toledo,14.62,
Auburn,14.46,
Colorado St.,14.43,
Richmond,14.23,
Wright St.,14.2,
St. John's,14.16,
Buffalo,13.82,
UC-Santa Barbara,13.65,
Northwestern,13.48,
North Texas,13.12,
Utah,13.11,
N.C. State,13.09,
Wichita State,12.96,
Saint Mary's,12.84,
Providence,12.7,
Mississippi St.,12.63,
Ohio,12.55,
Dayton,12.26,
Marquette,12.2,
Notre Dame,12.14,
Louisiana Tech,11.76,
Stanford,11.68,
Colgate,11.65,
Oregon State,11.6,
Abilene Christian,11.54,
Missouri St.,10.86,
Nevada,10.85,
Pittsburgh,10.59,
Marshall,10.56,
Furman,10.42,
Winthrop,10.38,
Georgia,10.17,
Nebraska,10.09,
Vanderbilt,10.06,
Western Kentucky,10.06,
Liberty,9.81,
UAB,9.79,
Akron,9.7,
North Carolina-Greensboro,9.6,
San Francisco,9.52,
Loyola Marymount,9.5,
UCF,9.33,
Belmont,9.23,
Rhode Island,9.22,
Kent St.,8.84,
Washington St.,8.78,
Grand Canyon,8.4,
UC Irvine,8.09,
Cincinnati,8.09,
Eastern Washington,8.07,
UC Riverside,8.04,
Pepperdine,7.94,
Arizona St.,7.66,
Massachusetts,7.59,
Butler,7.37,
South Dakota St.,7.07,
Indiana St.,7.01,
Duquesne,6.99,
Yale,6.85,
Bowling Green,6.61,
South Carolina,6.34,
Pacific,6.31,
Wofford,6.08,
Tulsa,5.94,
East Tennessee St.,5.7,
Weber St.,5.36,
Morehead State,5.33,
Mercer,5.18,
Vermont,5.05,
George Mason,4.99,
Miami FL,4.92,
DePaul,4.83,
Texas A&M,4.33,
UTEP,4.19,
California,4.02,
Ball St.,3.91,
Temple,3.89,
TCU,3.88,
Bradley,3.48,
Southern Utah,3.45,
Cal St. Bakersfield,3.35,
Boston College,3.24,
North Dakota St.,3.17,
Miami OH,3.05,
Drexel,3.05,
Detroit,3.0,
VMI,2.93,
Old Dominion,2.8,
Cleveland State,2.8,
Tulane,2.79,
Oral Roberts,2.64,
Georgia St.,2.61,
Santa Clara,2.44,
Stephen F. Austin,2.44,
Chattanooga,2.41,
Kansas St.,2.28,
Navy,2.23,
Jacksonville St.,2.21,
New Mexico St.,2.1,
Northern Iowa,1.92,
Princeton,1.89,
Northeastern,1.84,
Wyoming,1.81,
East Carolina,1.77,
UMBC,1.75,
UTSA,1.68,
Murray St.,1.61,
UNLV,1.42,
Wake Forest,1.37,
Eastern Kentucky,1.26,
James Madison,1.26,
Washington,1.18,
Bryant,1.15,
Coastal Carolina,1.06,
South Dakota,1.01,
South Florida,0.74,
Iowa St.,0.71,
Gardner Webb,0.67,
Harvard,0.56,
Iona,0.4,
Florida Atlantic,0.28,
Bellarmine,0.19,
Sam Houston St.,0.11,
Texas St.,-0.06,
Siena,-0.36,
Fresno St.,-0.48,
Hofstra,-0.56,
Army,-0.83,
Rice,-0.98,
Valparaiso,-1.22,
Hartford,-1.3,
Southern Illinois,-1.41,
La Salle,-1.53,
Northern Kentucky,-1.74,
Saint Joseph's,-1.81,
Hawaii,-1.82,
Illinois St.,-1.96,
Elon,-2.18,
Norfolk State,-2.31,
Montana,-2.43,
Nicholls St.,-2.43,
Evansville,-2.54,
San Diego,-2.55,
Milwaukee,-2.61,
Louisiana,-2.67,
Oakland,-2.8,
Campbell,-2.83,
Appalachian State,-2.91,
Loyola MD,-2.91,
Utah Valley,-3.13,
Wagner,-3.17,
Penn,-3.27,
Austin Peay,-3.3,
Cornell,-3.33,
The Citadel,-3.36,
South Alabama,-3.42,
UMKC,-3.48,
Mount St. Mary's,-3.58,
Saint Peter's,-3.59,
Morgan St.,-3.69,
UC Davis,-3.82,
George Washington,-4.01,
Montana St.,-4.03,
Delaware,-4.11,
Charleston,-4.36,
Monmouth,-4.43,
UMass Lowell,-4.52,
Texas Southern,-4.64,
Stony Brook,-4.76,
Youngstown St.,-4.86,
Seattle,-4.87,
Charlotte,-4.94,
Albany,-5.07,
Radford,-5.25,
UNC Asheville,-5.26,
Western Carolina,-5.28,
Longwood,-5.31,
UNC Wilmington,-5.53,
Little Rock,-5.55,
UC San Diego,-5.63,
Lipscomb,-5.64,
Cal Baptist,-5.75,
Brown,-5.83,
Green Bay,-5.86,
Prairie View A&M,-5.9,
Stetson,-5.91,
Northern Colorado,-5.92,
Niagara,-6.05,
Canisius,-6.08,
Arkansas St.,-6.58,
Boston University,-6.61,
Long Beach St.,-6.61,
UT Arlington,-6.62,
Southern Miss,-6.89,
IUPUI,-6.97,
Lafayette,-7.01,
Portland St.,-7.11,
Cal St. Fullerton,-7.45,
Sacramento St.,-7.54,
American,-7.68,
Samford,-7.8,
LIU,-7.82,
Marist,-7.98,
New Hampshire,-7.98,
Tarleton St.,-8.02,
Western Michigan,-8.02,
Southeast Missouri St.,-8.33,
Idaho St.,-8.34,
Georgia Southern,-8.35,
Purdue Fort Wayne,-8.48,
Jackson St.,-8.66,
Cal St. Northridge,-8.67,
Bucknell,-8.68,
Central Michigan,-8.72,
Dartmouth,-8.83,
Merrimack,-8.86,
Eastern Michigan,-9.05,
Illinois Chicago,-9.06,
Florida A&M,-9.16,
High Point,-9.3,
Columbia,-9.39,
North Alabama,-9.41,
Quinnipiac,-9.47,
North Carolina A&T,-9.48,
New Orleans,-9.58,
Coppin St.,-9.65,
Florida Gulf Coast,-9.75,
New Mexico,-9.92,
Fairleigh Dickinson,-9.93,
St. Francis NY,-9.96,
UT Rio Grande Valley,-9.99,
North Dakota,-10.05,
Robert Morris,-10.11,
Holy Cross,-10.25,
NJIT,-10.29,
FIU,-10.35,
Towson,-10.39,
William & Mary,-10.44,
Fordham,-10.69,
Jacksonville,-10.76,
St. Francis PA,-10.79,
Western Illinois,-10.92,
Louisiana Monroe,-10.92,
Troy,-10.93,
North Florida,-11.17,
Middle Tennessee,-11.18,
Fairfield,-11.24,
Eastern Illinois,-11.42,
Lamar,-11.63,
Southern,-11.89,
Nebraska Omaha,-11.94,
Tennessee Tech,-12.05,
Howard,-12.17,
Manhattan,-12.51,
Rider,-12.53,
Sacred Heart,-12.76,
Tennessee St.,-12.82,
USC Upstate,-12.86,
SIU Edwardsville,-13.03,
Northwestern St.,-13.19,
Binghamton,-13.48,
Grambling St.,-13.58,
Presbyterian,-13.62,
Hampton,-13.81,
Northern Arizona,-14.09,
North Carolina Central,-14.42,
Portland,-14.55,
Air Force,-14.6,
San Jose St.,-14.8,
Dixie St.,-15.0,
Central Arkansas,-15.15,
Lehigh,-15.31,
Cal Poly,-15.44,
Northern Illinois,-15.58,
Kennesaw St.,-16.49,
Charleston Southern,-16.64,
Southeastern Louisiana,-16.79,
Central Connecticut,-16.91,
McNeese St.,-17.56,
Houston Baptist,-17.8,
Incarnate Word,-17.87,
Denver,-18.09,
Maine,-18.17,
Texas A&M Corpus Chris,-18.28,
Alcorn St.,-18.3,
Tennessee Martin,-19.25,
Alabama A&M,-20.02,
Bethune Cookman,-20.66,
Delaware St.,-22.53,
Arkansas Pine Bluff,-22.63,
Idaho,-22.99,
South Carolina St.,-23.53,
Alabama St.,-25.1,
Maryland Eastern Shore,-25.73,
Chicago St.,-27.97,
Mississippi Valley St.,-40.5,
